CASRN,Name,Hazard class,Category,H-statement,M-factor
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
131538-00-6,"4-Mercaptomethyl-3,6-dithia-1,8-octanedithiol ",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
131538-00-6,"4-Mercaptomethyl-3,6-dithia-1,8-octanedi thiol ; 2,3-Bis((2-mercaptoethyl)thio)-1-propanethiol",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
131538-00-6,"4-Mercaptomethyl-3,6-dithia-1,8-octanedi thiol ; 2,3-Bis((2-mercaptoethyl)thio)-1-propanethiol",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
131538-00-6,"4-Mercaptomethyl-3,6-dithia-1,8-octanedi thiol ; 2,3-Bis((2-mercaptoethyl)thio)-1-propanethiol",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
131538-00-6,"4-Mercaptomethyl-3,6-dithia-1,8-octanedi thiol ; 2,3-Bis((2-mercaptoethyl)thio)-1-propanethiol",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
79538-32-2,Tefluthrin,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10000
79538-32-2,Tefluthrin,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
79538-32-2,Tefluthrin,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
79538-32-2,Tefluthrin,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
79538-32-2,Tefluthrin,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
79538-32-2,Tefluthrin,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10000
79538-32-2,Tefluthrin,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
644-97-3,Dichloro(phenyl)phosphine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
644-97-3,Dichloro(phenyl)phosphine,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
20893-30-5,2-Thienylacetonitrile,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
20893-30-5,2-Thienylacetonitrile,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
20893-30-5,2-Thienylacetonitrile,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
13531-52-7,"N-(2-Aminoethyl)-1,3-propanediamine",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
13531-52-7,"N-(2-Aminoethyl)-1,3-propanediamine",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
1752-30-3,Acetone thiosemicarbazone,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
1752-30-3,Acetone thiosemicarbazone,Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
1752-30-3,Acetone thiosemicarbazone,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
102-82-9,Tributylamine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
102-82-9,"N,N-Dibutyl-1-butanamine ; Tributylamine",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
102-82-9,"N,N-Dibutyl-1-butanamine ; Tributylamine",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
102-82-9,"N,N-Dibutyl-1-butanamine ; Tributylamine",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
102-82-9,"N,N-Dibutyl-1-butanamine ; Tributylamine",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
102-82-9,"N,N-Dibutyl-1-butanamine ; Tributylamine",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
96-09-3,(Epoxyethyl)benzene,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
96-09-3,"Phenyloxirane ; Styrene oxide, (Epoxyethyl) benzene ; Styrene epoxide ; Epoxystyrene",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
96-09-3,"Phenyloxirane ; Styrene oxide, (Epoxyethyl) benzene ; Styrene epoxide ; Epoxystyrene",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
96-09-3,"Phenyloxirane ; Styrene oxide, (Epoxyethyl) benzene ; Styrene epoxide ; Epoxystyrene",Carcinogenicity,Category 1,H350 - May cause cancer,
96-09-3,"Phenyloxirane ; Styrene oxide, (Epoxyethyl) benzene ; Styrene epoxide ; Epoxystyrene",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,0
1836-75-5,Nitrofen,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
1836-75-5,Nitrofen,Carcinogenicity,Category 1,H350 - May cause cancer,
1836-75-5,Nitrofen,Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
1836-75-5,Nitrofen,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
869-24-9,2-Chloroethyldiethyl ammonium chloride,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
869-24-9,2-Chloroethyldiethyl ammonium chloride,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
869-24-9,2-Chloroethyldiethyl ammonium chloride,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
869-24-9,2-Chloroethyldiethyl ammonium chloride,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
869-24-9,2-Chloroethyldiethyl ammonium chloride,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
136426-54-5,Fluquinconazole,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
136426-54-5,"3-(2,4-Dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4-(3H)-one ; Fluquinconazole",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
136426-54-5,"3-(2,4-Dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4-(3H)-one ; Fluquinconazole",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
136426-54-5,"3-(2,4-Dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4-(3H)-one ; Fluquinconazole",Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
136426-54-5,"3-(2,4-Dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4-(3H)-one ; Fluquinconazole",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
136426-54-5,"3-(2,4-Dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4-(3H)-one ; Fluquinconazole",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
96182-53-5,Tebupirimfos,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,100
96182-53-5,"Phosphorothioic acid, O-[2-(1,1-dimethylethyl)-5-pyrimidinyl] O-ethyl O-(1-methylethyl) ester ; Tebupirimfos",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
96182-53-5,"Phosphorothioic acid, O-[2-(1,1-dimethylethyl)-5-pyrimidinyl] O-ethyl O-(1-methylethyl) ester ; Tebupirimfos",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
96182-53-5,"Phosphorothioic acid, O-[2-(1,1-dimethylethyl)-5-pyrimidinyl] O-ethyl O-(1-methylethyl) ester ; Tebupirimfos",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
96182-53-5,"Phosphorothioic acid, O-[2-(1,1-dimethylethyl)-5-pyrimidinyl] O-ethyl O-(1-methylethyl) ester ; Tebupirimfos",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
173584-44-6,Indoxacarb,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
173584-44-6,"7-Chloro-2,5-dihydro-2-[[(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]amino]carbonyl]-, methyl ester, (4aS)-",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
173584-44-6,"7-Chloro-2,5-dihydro-2-[[(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]amino]carbonyl]-, methyl ester, (4aS)-",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
173584-44-6,"7-Chloro-2,5-dihydro-2-[[(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]amino]carbonyl]-, methyl ester, (4aS)-",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
131807-57-3,Famoxadone,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,10
131807-57-3,"5-Methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione ; Famoxadone",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
131807-57-3,"5-Methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione ; Famoxadone",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
131807-57-3,"5-Methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione ; Famoxadone",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
131807-57-3,"5-Methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione ; Famoxadone",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
163520-33-0,"Ethyl 5,5-diphenyl-2-isoxazoline-3-carboxylate",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
163520-33-0,"Ethyl 5,5-diphenyl-2-isoxazoline- 3-carboxylate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
163520-33-0,"Ethyl 5,5-diphenyl-2-isoxazoline- 3-carboxylate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
163520-33-0,"Ethyl 5,5-diphenyl-2-isoxazoline- 3-carboxylate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
13952-84-6,1-Methylpropylamine,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
13952-84-6,1-Methylpropylamine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
13952-84-6,1-Methylpropylamine,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
13952-84-6,1-Methylpropylamine,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
98-00-0,2-Furanmethanol ,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
98-00-0,2-Furanmethanol ; Furfuryl alcohol,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
122-19-0,Benzyldimethylocta-decylammonium chloride,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
122-19-0,Benzyldimethyl-octadecyl ammonium chloride,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
122-19-0,Benzyldimethyl-octadecyl ammonium chloride,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
122-19-0,Benzyldimethyl-octadecyl ammonium chloride,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
126-97-6,(2-Hydroxyethyl)ammonium mercaptoacetate ,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
126-97-6,(2-Hydroxyethyl)ammonium mercaptoacetate ,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
126-97-6,(2-Hydroxyethyl)ammonium mercaptoacetate ,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
3737-41-5,"3,3,4,4-Tetrachlorotetrahydrothiophene 1,1-dioxide",Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
3737-41-5,"3,3,4,4-Tetrachlorotetrahydrothiophene 1,1-dioxide",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
510-15-6,Chlorobenzilate,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
510-15-6,"4-Chloro-α-(4-chlorophenyl)-α-hydroxybenzeneacetic acid ethyl ester ; Ethyl 4,4'-dichlorobenzilate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
510-15-6,"4-Chloro-α-(4-chlorophenyl)-α-hydroxybenzeneacetic acid ethyl ester ; Ethyl 4,4'-dichlorobenzilate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
126-72-7,"Tris(2,3-dibromopropyl)phosphate",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
126-72-7,"Tris(2,3-dibromopropyl) phosphate",Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
126-72-7,"Tris(2,3-dibromopropyl) phosphate",Carcinogenicity,Category 1,H350 - May cause cancer,
126-72-7,"Tris(2,3-dibromopropyl) phosphate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
126-72-7,"Tris(2,3-dibromopropyl) phosphate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
52645-53-1,Permethrin,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,100
52645-53-1,"3-(2,2-Dichloroethenyl)-2,2-dimethyl-cyclopropanecarboxylic acid (3-phenoxyphenyl)methyl ester ; m-Phenoxylbenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate, Permethrin",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
52645-53-1,"3-(2,2-Dichloroethenyl)-2,2-dimethyl-cyclopropanecarboxylic acid (3-phenoxyphenyl)methyl ester ; m-Phenoxylbenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate, Permethrin",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
52645-53-1,"3-(2,2-Dichloroethenyl)-2,2-dimethyl-cyclopropanecarboxylic acid (3-phenoxyphenyl)methyl ester ; m-Phenoxylbenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate, Permethrin",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
814-49-3,Phosphorochloridic acid diethyl ester,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
814-49-3,Diethyl phosphorochloridate ; Phosphorochloridic acid diethyl ester,Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
814-49-3,Diethyl phosphorochloridate ; Phosphorochloridic acid diethyl ester,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
814-49-3,Diethyl phosphorochloridate ; Phosphorochloridic acid diethyl ester,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
814-49-3,Diethyl phosphorochloridate ; Phosphorochloridic acid diethyl ester,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
131013-81-5,"Tritetramethylammonium 4,5-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H- pyrazole-3-carboxylate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
107-12-0,Propiononitrile,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
107-12-0,Propiononitrile,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
107-12-0,Propiononitrile,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
107-12-0,Propiononitrile,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
107-12-0,Propiononitrile,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
107-12-0,Propiononitrile,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
112-02-7,N-Hexadecyltrimethyl ammonium chloride,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
112-02-7,N-Hexadecyltrimethyl ammonium chloride,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
112-02-7,"N,N,N-Trimethyl-1-hexadecanaminium chloride ; Cetyltrimethylammonium chloride",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,0
3380-30-1,"2-Hydroxy-4,4'-dichlorodiphenyl ether",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
3380-30-1,"2-Hydroxy-4,4'-dichlorodiphenyl ether",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
3380-30-1,"2-Hydroxy-4,4'-dichlorodiphenyl ether",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
153965-50-5,"N,N-Dimethyl-N-2-propenyl-2-propen-1-aminium reaction products with sodium tetraphenylborate(1-)",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
153965-50-5,"N,N-Dimethyl-N-2-propenyl-2-propen-1-aminium reaction products with sodium tetraphenylborate(1-)",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
137398-54-0,Diisopropyl xanthogen polysulphide,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
137398-54-0,Diisopropyl xanthogen polysulphide,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
137398-54-0,Diisopropyl xanthogen polysulphide,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
137398-54-0,Diisopropyl xanthogen polysulphide,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2-hexaneperoxoic acid",Organic peroxides,Category 3,H242 - Heating may cause a fire,
128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2- hexaneperoxoic acid",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2- hexaneperoxoic acid",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2- hexaneperoxoic acid",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
128275-31-0,"1,3-Dihydro-1,3-dioxo-2H-isoindole-2- hexaneperoxoic acid",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,0
128-04-1,Sodium dimethyldithiocarbamate,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
128-04-1,Sodium dimethyldithiocarbamate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
128-04-1,Sodium dimethyldithiocarbamate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
75-21-8,Ethylene oxide,Flammable gases,Category 1,H220 - Extremely flammable gas,
75-21-8,Oxirane ; Ethylene oxide,Gases under pressure,Category 2,H280 - Contains gas under pressure; may explode if heated,
75-21-8,Oxirane ; Ethylene oxide,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
75-21-8,Oxirane ; Ethylene oxide,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
75-21-8,Oxirane ; Ethylene oxide,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
75-21-8,Oxirane ; Ethylene oxide,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
75-21-8,Oxirane ; Ethylene oxide,Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
75-21-8,Oxirane ; Ethylene oxide,Germ cell mutagenicity,Category 1,H340 - May cause genetic defects,
75-21-8,Oxirane ; Ethylene oxide,Carcinogenicity,Category 1,H350 - May cause cancer,
545-06-2,Trichloroacetonitrile,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
545-06-2,Trichloroacetonitrile,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
545-06-2,Trichloroacetonitrile,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
545-06-2,Trichloroacetonitrile,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
685-63-2,"Hexafluoro-1,3-butadiene",Flammable gases,Category 1,H220 - Extremely flammable gas,
685-63-2,"Hexafluoro-1,3-butadiene",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
90076-65-6,"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfon amide lithium salt",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
90076-65-6,"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfon amide lithium salt",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
90076-65-6,"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfon amide lithium salt",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
90076-65-6,"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfon amide lithium salt",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
3570-55-6,"2,2'-Thiodiethanethiol",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
3570-55-6,"2,2'-Thiodiethanethiol",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
1631-25-0,"1-Cyclohexyl-1H-pyrrole-2,5-dione",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
6711-48-4,"N'-[3-(Dimethylamino)propyl]-N,N-dimethylpropane-1,3-diamine",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
6711-48-4,"N'-[3-(Dimethyl amino)propyl]-N,N-dimethylpropane-1,3-diamine",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
6711-48-4,"N'-[3-(Dimethyl amino)propyl]-N,N-dimethylpropane-1,3-diamine",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
6711-48-4,"N'-[3-(Dimethyl amino)propyl]-N,N-dimethylpropane-1,3-diamine",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
6711-48-4,"N'-[3-(Dimethyl amino)propyl]-N,N-dimethylpropane-1,3-diamine",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
971-66-4,Pyridine-triphenyl borane (1/1),Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
971-66-4,Pyridine-triphenyl borane (1/1),Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
971-66-4,Pyridine-triphenylborane (1:1),Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
71604-74-5,N-[3-(Oxiranylmethoxy)phenyl]-N-(oxiranylmethyl)oxiranemethanamine,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
110656-67-2,N-[2-Methyl-4-(oxiranylmethoxy)phenyl]-N-(oxiranylmethyl)oxiranemethan amine,Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
97659-53-5,"N-Alkyl(C=8~22)polytrimethylenepolyamines, carboxymethyl derivs., sodium salt",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
97659-53-5,"N-Alkyl(C=8~22)polytrimethylenepolyamines, carboxymethyl derivs., sodium salt",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
NA,"1,3-Di-2-propenyl-2-(2-propenyloxy)benzene, epoxidized",Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
93705-66-9,"[2,2'-[Methylenebis[(2,6-dimethyl-4,1-phenylene)oxymethylene]]bisoxirane",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
93705-66-9,"[2,2'-[Methylenebis[(2,6-dimethyl-4,1-phenylene)oxymethylene]]bisoxirane",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3410-77-3,Tetraisocyanatosilane,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
3410-77-3,Tetraisocyanatosilane,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
569-64-2,"[4-[α-[4-(Dimethylamino)phenyl]benzylidene] cyclohexa -2,5-dien-1-ylidene]dimethylammonium chloride",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
569-64-2,"[4-[α-[4-(Dimethylamino)phenyl]benzylidene] cyclohexa -2,5-dien-1-ylidene]dimethylammonium chloride",Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
569-64-2,"C.I. basic green 004 ; [4-[α-[4-(Dimethylamino)phenyl]benzylidene] cyclohexa -2,5-dien-1-ylidene]dimethylammonium chloride",Reproductive toxicity,Category 2,H361 - Suspected of damaging fertility or the unborn child,
569-64-2,"C.I. basic green 004 ; [4-[α-[4-(Dimethylamino)phenyl]benzylidene] cyclohexa -2,5-dien-1-ylidene]dimethylammonium chloride",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
569-64-2,"C.I. basic green 004 ; [4-[α-[4-(Dimethylamino)phenyl]benzylidene] cyclohexa -2,5-dien-1-ylidene]dimethylammonium chloride",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
109-61-5,n-Propyl chloroformate,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
109-61-5,n-Propyl chloroformate,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
109-61-5,n-Propyl chloroformate,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
109-61-5,n-Propyl chloroformate,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
109-61-5,n-Propyl chloroformate,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
75-57-0,"Tetramethylammonium chloride ; N,N,N-Trimethyl methanaminium chloride",Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
